data_source,family_id,individual_id,latitude1,longitude1,city1,country1,latitude2,longitude2,city2,country2
Kopelman2020_240_otherJ,0,pop_11911_1987,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_4521,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_4593,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_4594,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_4722,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_1239,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_1377,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_1745,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_4051,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_4203,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_4332,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_5309,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_5837,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_5988,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_6009,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_6173,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman_2020_147_AJ,0,pop_11913_6404,52.5218,13.4015,Berlin,Germany,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_61,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_211,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_223,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1132,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1159,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1161,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1173,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1284,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1383,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1404,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1409,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1414,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1419,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1485,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1513,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1557,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1560,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1586,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1832,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11915_1840,35.6719,51.4243,Tehran,Iran,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_52,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_175,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_182,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11916_184,33.3386,44.3939,Baghdad,Iraq,NA,NA,NA,NA
