Dataset,family_id,individual_id,lat1_obs,long1_obs,city1_obs,country1_obs,lat2_obs,long2_obs,city2_obs,country2_obs,#,Northeast Asian,Mediterranean,Southern African,Southwest Asian,Native American,Oceanian,Southeast Asia,Northern European,Subsaharan African,ClosestPop_prd,Lat_pred,Long_pred
Kopelman2020_239otherJ,0,pop_11911_2,41.725,44.7908,Tbilisi,Georgia(country),,,,,166,"0,029726","0,541485","0,000586","0,311517","0,001058",1E-05,"0,033189","0,073119","0,009309",Armenians_2,"40,033","44,8831"
Kopelman2020_239otherJ,0,pop_11911_17,41.725,44.7908,Tbilisi,Georgia(country),,,,,167,"0,025098","0,544474",1E-05,"0,317136","0,008855",1E-05,"0,017796","0,064512","0,022109",Armenians_2,"40,0397","44,9236"
Kopelman2020_239otherJ,0,pop_11911_1577,41.725,44.7908,Tbilisi,Georgia(country),,,,,168,"0,012299","0,546203","0,004967","0,32595","0,0176",1E-05,"0,006552","0,074584","0,011835",Armenians_2,"40,0798","44,9663"
Kopelman2020_239otherJ,0,pop_11911_1594,41.725,44.7908,Tbilisi,Georgia(country),,,,,169,"0,015953","0,547006",1E-05,"0,331531","0,000399","0,012391","0,018289","0,065823","0,008597",Armenians_2,"40,0877","44,9853"
Kopelman2020_239otherJ,0,pop_11911_1607,41.725,44.7908,Tbilisi,Georgia(country),,,,,170,"0,041181","0,490208",1E-05,"0,33663","0,001868",1E-05,"0,032189","0,090526","0,007378",Armenians_1,"40,3692","42,9392"
Kopelman2020_239otherJ,0,pop_11911_1654,41.725,44.7908,Tbilisi,Georgia(country),,,,,171,"0,023193","0,554608",1E-05,"0,316612","0,01055","0,001134","0,028656","0,050607","0,01463",Armenians_2,"40,0314","44,796"
Kopelman2020_239otherJ,0,pop_11911_1671,41.725,44.7908,Tbilisi,Georgia(country),,,,,172,"0,018349","0,540882","0,008214","0,321665","0,008314",1E-05,"0,020555","0,072645","0,009365",Armenians_2,"40,0608","45,0041"
Kopelman2020_239otherJ,0,pop_11911_1883,41.725,44.7908,Tbilisi,Georgia(country),,,,,173,"0,021104","0,526054",1E-05,"0,316027","0,012734","0,008204","0,025164","0,083192","0,007511",Armenians_1,"40,0531","44,9703"
Kopelman2020_239otherJ,0,pop_11911_1961,41.725,44.7908,Tbilisi,Georgia(country),,,,,174,"0,032189","0,294108",1E-05,"0,214146","0,028957","0,016816","0,01927","0,394493",1E-05,UK_1,"52,1534","1,1416"
Kopelman2020_239otherJ,0,pop_11911_1963,41.725,44.7908,Tbilisi,Georgia(country),,,,,175,"0,016326","0,559101","0,011423","0,32623","0,010524","0,011283","0,016811","0,043719","0,004582",Armenians_2,"40,2353","44,769"
Kopelman2020_239otherJ,0,pop_11911_1965,41.725,44.7908,Tbilisi,Georgia(country),,,,,176,"0,013985","0,547292","0,008984","0,319831","0,00897","0,008644","0,013863","0,07142","0,007012",Armenians_2,"40,064","45,0184"
Kopelman2020_239otherJ,0,pop_11911_1970,41.725,44.7908,Tbilisi,Georgia(country),,,,,177,"0,025242","0,581909","0,000173","0,29897","0,007087","0,004981","0,023111","0,04614","0,012387",Armenians_2,"39,6323","43,5198"
Kopelman2020_239otherJ,0,pop_11911_1971,41.725,44.7908,Tbilisi,Georgia(country),,,,,178,"0,023673","0,550705","0,007809","0,313389","0,014404","0,000676","0,012894","0,075124","0,001325",Armenians_2,"40,0655","45,0073"
Kopelman2020_239otherJ,0,pop_11911_1972,41.725,44.7908,Tbilisi,Georgia(country),,,,,179,"0,021167","0,537586","0,009263","0,242693",1E-05,1E-05,"0,018214","0,149021","0,022036",Turk_2,"38,7036","38,3633"
Kopelman2020_239otherJ,0,pop_11911_1973,41.725,44.7908,Tbilisi,Georgia(country),,,,,180,"0,029621","0,542733","0,007044","0,304906","0,007849","0,000382","0,017973","0,086227","0,003265",Armenians_1,"40,0489","44,8938"
Kopelman2020_239otherJ,0,pop_11911_1975,41.725,44.7908,Tbilisi,Georgia(country),,,,,181,"0,022028","0,538006","0,006829","0,308826","0,005785",1E-05,"0,023588","0,084863","0,010066",Armenians_1,"40,0493","44,9446"
Kopelman2020_239otherJ,0,pop_11911_1987,41.725,44.7908,Tbilisi,Georgia(country),,,,,182,"0,022689","0,552312","0,012366","0,309187",1E-05,"0,007683","0,018326","0,072972","0,004455",Armenians_2,"40,0635","45,0023"
Kopelman2020_239otherJ,0,pop_11911_4521,41.725,44.7908,Tbilisi,Georgia(country),,,,,183,"0,019739","0,531418",1E-05,"0,317935","0,02005","0,00026","0,032812","0,067972","0,009803",Armenians_1,"40,011","44,8203"
Kopelman2020_239otherJ,0,pop_11911_4593,41.725,44.7908,Tbilisi,Georgia(country),,,,,184,"0,017727","0,540902","0,000868","0,302528","0,015551","0,006281","0,018765","0,074339","0,023041",Armenians_2,"39,8974","44,6172"
Kopelman2020_239otherJ,0,pop_11911_4594,41.725,44.7908,Tbilisi,Georgia(country),,,,,185,"0,006322","0,534619","0,009838","0,310454","0,020741","0,006595","0,018289","0,090091","0,00305",Armenians_1,"40,0368","44,8091"
Kopelman2020_239otherJ,0,pop_11911_4722,41.725,44.7908,Tbilisi,Georgia(country),,,,,186,"0,014376","0,551498","0,009446","0,325934","0,007282","0,007643","0,022511","0,0613",1E-05,Armenians_2,"40,0799","44,9957"
Kopelman_2020_148_AJ,0,pop_11913_1239,52.5218,13.4015,Berlin,Germany,,,,,187,"0,016979","0,501787","0,008954","0,24439","0,019611","0,006243","0,026095","0,160231","0,015709",Turk_2,"41,5111","37,9493"
Kopelman_2020_148_AJ,0,pop_11913_1377,52.5218,13.4015,Berlin,Germany,,,,,188,"0,019734","0,537032","0,004415","0,23316","0,00832","0,014662","0,009087","0,148646","0,024943",Turk_2,"38,4433","37,7902"
Kopelman_2020_148_AJ,0,pop_11913_1745,52.5218,13.4015,Berlin,Germany,,,,,189,"0,027738","0,540959","0,001403","0,240415","0,004671","0,006559","0,02172","0,135308","0,021226",Turk_2,"38,3394","39,3984"
Kopelman_2020_148_AJ,0,pop_11913_4051,52.5218,13.4015,Berlin,Germany,,,,,190,"0,021075","0,511146","0,007373","0,259664","0,015298","0,003427","0,010692","0,153492","0,017833",Turk_2,"41,0171","39,3497"
Kopelman_2020_148_AJ,0,pop_11913_4203,52.5218,13.4015,Berlin,Germany,,,,,191,"0,012672","0,524723","0,006699","0,233094","0,019215","0,002317","0,030855","0,149906","0,020518",Turk_2,"39,011","37,2773"
Kopelman_2020_148_AJ,0,pop_11913_4332,52.5218,13.4015,Berlin,Germany,,,,,192,"0,012626","0,525683","0,001708","0,251963","0,011435","0,008852","0,018848","0,145414","0,023471",Turk_2,"39,4052","39,7859"
Kopelman_2020_148_AJ,0,pop_11913_5309,52.5218,13.4015,Berlin,Germany,,,,,193,"0,039425","0,51326","0,002812","0,248661","0,011201","0,004362","0,010139","0,156414","0,013725",Turk_2,"41,0612","38,7261"
Kopelman_2020_148_AJ,0,pop_11913_5837,52.5218,13.4015,Berlin,Germany,,,,,194,"0,010252","0,554975","0,000543","0,233627","0,010475","0,011871","0,022407","0,116904","0,038946",Palestinian_2,"35,3967","38,0859"
Kopelman_2020_148_AJ,0,pop_11913_5988,52.5218,13.4015,Berlin,Germany,,,,,195,"0,021741","0,530227",1E-05,"0,246882","0,005931",1E-05,"0,02268","0,138913","0,033606",Turk_2,"38,3482","39,7631"
Kopelman_2020_148_AJ,0,pop_11913_6009,52.5218,13.4015,Berlin,Germany,,,,,196,"0,019939","0,512828",1E-05,"0,227459","0,022973","0,004819","0,028623","0,146745","0,036605",Turk_2,"38,8057","36,805"
Kopelman_2020_148_AJ,0,pop_11913_6173,52.5218,13.4015,Berlin,Germany,,,,,197,"0,024907","0,528243",1E-05,"0,254697","0,006321","0,016648","0,007366","0,144134","0,017673",Turk_2,"39,9883","40,3169"
Kopelman_2020_148_AJ,0,pop_11913_6404,52.5218,13.4015,Berlin,Germany,,,,,198,"0,019957","0,530855",1E-05,"0,235862","0,004543","0,022929","0,01527","0,141906","0,028669",Turk_2,"38,2724","37,9424"
Kopelman2020_239otherJ,0,pop_11915_61,35.6719,51.4243,Tehran,Iran,,,,,199,"0,021923","0,545027","0,00423","0,318786","0,014635","0,005658","0,01824","0,061485","0,010016",Armenians_2,"40,0612","44,9954"
Kopelman2020_239otherJ,0,pop_11915_211,35.6719,51.4243,Tehran,Iran,,,,,200,1E-05,"0,549579","0,001057","0,316805","0,024828","0,003002","0,020444","0,071947","0,012328",Armenians_2,"40,0164","44,766"
Kopelman2020_239otherJ,0,pop_11915_223,35.6719,51.4243,Tehran,Iran,,,,,201,"0,005103","0,570406","0,004131","0,331639","0,012049","0,006391","0,022017","0,036492","0,011772",Georgians_1,"40,3717","44,295"
Kopelman2020_239otherJ,0,pop_11915_1132,35.6719,51.4243,Tehran,Iran,,,,,202,"0,007523","0,580264","0,003137","0,309026","0,012482","0,006659","0,021095","0,042802","0,017012",Georgians_1,"39,8703","43,6896"
Kopelman2020_239otherJ,0,pop_11915_1159,35.6719,51.4243,Tehran,Iran,,,,,203,1E-05,"0,556393","0,00575","0,317642","0,01785",1E-05,"0,030317","0,054982","0,017047",Armenians_2,"39,9113","44,5104"
Kopelman2020_239otherJ,0,pop_11915_1173,35.6719,51.4243,Tehran,Iran,,,,,205,"0,01586","0,566719","0,001262","0,296934","0,01033","0,001798","0,030827","0,056807","0,019463",Armenians_2,"39,5226","43,908"
